               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028045,            0.010427,                   0,                   1,             0.99991,               0.995,             0.78083,            0.029087,           0.0064894,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029496,            0.011155,                   0,             0.97402,             0.98374,             0.99281,             0.69421,            0.027595,           0.0066765,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.031127,             0.01255,                   0,             0.99695,                   1,               0.995,             0.76799,            0.020564,           0.0065915,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.022881,            0.010603,                   0,             0.98882,                   1,              0.9946,             0.76422,            0.020043,           0.0066695,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02302,            0.010476,                   0,             0.99704,                   1,               0.995,             0.77335,            0.021867,           0.0070825,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031091,            0.010418,                   0,             0.99739,                   1,               0.995,              0.7111,              0.0256,           0.0064914,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.029555,            0.010274,                   0,             0.99834,                   1,               0.995,              0.7973,            0.026108,           0.0060211,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023914,           0.0097405,                   0,             0.99866,                   1,               0.995,             0.69412,            0.033419,           0.0059983,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.024733,           0.0091862,                   0,             0.99925,                   1,               0.995,             0.78958,            0.022065,           0.0055962,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.029373,           0.0093624,                   0,             0.99913,                   1,               0.995,             0.71703,            0.023085,           0.0065811,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.027267,            0.010374,                   0,             0.99882,                   1,               0.995,             0.79177,            0.019062,           0.0060007,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022434,           0.0085273,                   0,             0.99855,                   1,               0.995,             0.78964,            0.024267,           0.0064215,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.031503,           0.0099254,                   0,              0.9993,                   1,               0.995,             0.80574,            0.020418,           0.0066237,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025787,            0.010715,                   0,              0.9893,                   1,             0.99484,              0.7691,            0.021241,            0.006358,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.025219,            0.010952,                   0,             0.99937,                   1,               0.995,             0.83137,            0.018833,           0.0056621,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.026456,            0.011698,                   0,             0.99779,                   1,               0.995,             0.80781,             0.01902,           0.0052628,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.023424,            0.011035,                   0,              0.9992,                   1,               0.995,             0.84425,            0.018887,           0.0051319,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.023132,            0.008513,                   0,             0.99927,                   1,               0.995,             0.82488,            0.018298,            0.005158,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.021231,           0.0097389,                   0,             0.99917,                   1,               0.995,             0.85133,            0.017158,           0.0053153,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.020583,           0.0081659,                   0,             0.99948,                   1,               0.995,             0.77038,            0.021097,             0.00538,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.023989,            0.013223,                   0,             0.99906,                   1,               0.995,             0.82024,            0.019029,           0.0051033,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024117,            0.011228,                   0,             0.99887,                   1,               0.995,             0.80539,            0.023956,           0.0052726,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.021773,           0.0090996,                   0,             0.99893,                   1,               0.995,             0.85234,            0.020174,           0.0055776,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021448,           0.0087879,                   0,             0.99945,                   1,               0.995,             0.81561,              0.0192,           0.0054315,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.020523,           0.0095759,                   0,             0.99941,                   1,               0.995,             0.86766,            0.016013,           0.0051521,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021099,           0.0094754,                   0,             0.99933,                   1,               0.995,             0.83599,            0.017103,           0.0049061,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.021494,           0.0092795,                   0,             0.99926,                   1,               0.995,             0.84613,            0.014862,           0.0049569,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021457,           0.0085155,                   0,             0.99972,                   1,               0.995,             0.80526,            0.020955,           0.0054718,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.025528,           0.0091038,                   0,                   1,             0.99951,               0.995,              0.7658,            0.018205,           0.0054603,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023287,           0.0085754,                   0,             0.99926,                   1,               0.995,             0.77941,            0.020571,            0.005713,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.022878,           0.0088133,                   0,             0.99938,                   1,               0.995,             0.85247,            0.016788,           0.0055407,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021248,           0.0088862,                   0,             0.99809,             0.97561,             0.99389,             0.77411,            0.017963,           0.0062126,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.019959,           0.0098802,                   0,                   1,             0.99767,               0.995,             0.82936,            0.015638,           0.0057825,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.021298,           0.0093348,                   0,             0.99958,                   1,               0.995,             0.86079,            0.017323,           0.0046523,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.017488,           0.0077703,                   0,             0.99945,                   1,               0.995,             0.89753,            0.013559,           0.0044063,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.018341,           0.0082888,                   0,              0.9994,                   1,               0.995,             0.83987,            0.021265,           0.0051238,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.021478,           0.0096973,                   0,             0.99934,                   1,               0.995,             0.86773,            0.018848,           0.0050193,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022001,           0.0084476,                   0,             0.99936,                   1,               0.995,             0.87938,            0.016574,           0.0048571,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.021643,           0.0087988,                   0,             0.99935,                   1,               0.995,             0.88522,            0.015579,           0.0048615,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.020877,           0.0087248,                   0,             0.99928,                   1,               0.995,             0.83227,            0.015951,           0.0051024,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.019705,            0.008513,                   0,             0.99945,                   1,               0.995,             0.88101,            0.013658,           0.0052871,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.018948,           0.0069036,                   0,             0.99952,                   1,               0.995,             0.86982,            0.015415,           0.0049047,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.01974,            0.008594,                   0,             0.99948,                   1,               0.995,             0.88072,            0.015152,           0.0045221,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.021164,           0.0072251,                   0,             0.99934,                   1,               0.995,             0.80045,            0.018471,           0.0047756,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.019409,           0.0078828,                   0,             0.99922,                   1,               0.995,             0.84413,            0.014806,           0.0046384,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.017235,           0.0076285,                   0,             0.99946,                   1,               0.995,             0.86819,             0.01307,           0.0044374,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.018886,           0.0084789,                   0,             0.99937,                   1,               0.995,             0.90369,            0.012806,           0.0041855,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.019647,           0.0090276,                   0,             0.99942,                   1,               0.995,             0.83299,             0.01716,           0.0043513,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.020513,           0.0069481,                   0,             0.99944,                   1,               0.995,             0.87927,            0.012929,           0.0041684,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.018144,           0.0072746,                   0,             0.99945,                   1,               0.995,             0.78178,              0.0176,           0.0044219,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.022904,           0.0091979,                   0,             0.99937,                   1,               0.995,             0.84295,            0.017463,           0.0042954,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021117,           0.0088477,                   0,             0.99906,                   1,               0.995,             0.84523,            0.015215,           0.0045268,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.019897,           0.0089056,                   0,             0.99968,                   1,               0.995,             0.82196,            0.017267,           0.0065821,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.019817,           0.0078271,                   0,             0.99894,                   1,               0.995,             0.86783,            0.013955,           0.0058632,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.017319,           0.0089377,                   0,             0.99903,                   1,               0.995,             0.86614,            0.014109,           0.0064767,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.017742,            0.008858,                   0,             0.99928,                   1,               0.995,             0.81405,            0.016455,           0.0064641,                   0,            0.005446,            0.005446,            0.005446
