               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.047235,            0.014869,                   0,             0.25029,             0.81373,             0.39843,             0.17836,            0.026737,            0.012462,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051363,            0.016413,                   0,             0.91366,             0.83003,              0.8818,             0.26667,            0.023204,            0.010909,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.040529,            0.015274,                   0,             0.84373,             0.84692,             0.89712,             0.41808,            0.019262,           0.0093265,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.047802,            0.014359,                   0,             0.88457,             0.90154,             0.92327,              0.4665,            0.026613,           0.0090916,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.046301,            0.017648,                   0,             0.69122,             0.86275,             0.75881,             0.34298,            0.029387,            0.010864,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.043083,             0.01387,                   0,             0.78507,             0.96691,             0.93787,             0.50317,            0.018931,            0.008164,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.04637,            0.016104,                   0,             0.77242,              0.9902,             0.98722,             0.52267,            0.016538,           0.0086544,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.048385,            0.016192,                   0,             0.98038,             0.97994,             0.98048,             0.40225,            0.018294,           0.0096795,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.054701,            0.016396,                   0,             0.86858,              0.9072,             0.93421,             0.48658,            0.017319,           0.0076849,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.037735,            0.015943,                   0,              0.9562,             0.97059,             0.98635,             0.47945,            0.019693,           0.0076249,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.03594,            0.015793,                   0,             0.78979,             0.99453,             0.93937,             0.45427,            0.019922,           0.0085329,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049164,            0.015808,                   0,             0.80772,             0.97059,             0.93621,             0.41812,            0.017756,           0.0083749,                   0,            0.007624,            0.007624,            0.007624
